#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 2579772969631487360,17.726595,0.0668,9.564933,0.0326,2.57977296963149E+18,25.2831,0.0615,411.1944,95.262,0.132,238.833,0.069,130,231.35,7,0,27961000,9057.1,7.072,4E-04,15260000,39929.0,7.3925,0.0028,17933000,116810.0,6.6278,0.0071,0.7647,9.28,0.23,5907.85,0.151,0.0775,1.25,1.715,17.726179,9.563905
Gaia DR2 3148814698509975936,116.885421,0.0412,9.633217,0.0216,3.14881469850998E+18,22.5716,0.0428,527.1729,-44.503,0.078,152.564,0.04,281,636.16,12,0,31615000,5724.3,6.9386,2E-04,17430000,16908.0,7.2481,0.0011,19851000,49949.0,6.5175,0.0027,0.7307,,,6034.25,0.189,0.1303,1.42,2.421,116.885616,9.63256
Gaia DR2 1174143182830505984,222.758699,0.0474,9.723912,0.0363,1.17414318283051E+18,33.2524,0.0545,610.6711,-216.298,0.078,56.482,0.078,132,266.39,9,0,22181000,15280.0,7.3234,7E-04,11289000,43269.0,7.7197,0.0042,15025000,56942.0,6.8199,0.0041,0.8998,-36.09,0.19,5587.0,0.017,0.0127,0.96,0.803,222.759644,9.723669
Gaia DR2 2759831021020366848,356.576239,0.0298,9.784289,0.0234,2.75983102102037E+18,23.3144,0.0425,548.0122,-50.57,0.08,-182.066,0.043,419,900.19,13,1,22132000,3706.4,7.3258,2E-04,12105000,8310.8,7.644,7E-04,14126000,18101.0,6.8868,0.0014,0.7571,5.73,0.15,6017.0,0.0693,0.0347,1.16,1.589,356.57646,9.785073
Gaia DR2 3905603054348141440,183.373058,0.0444,10.04043,0.028,3.90560305434814E+18,26.1595,0.0537,487.2352,22.863,0.092,-280.009,0.053,318,534.67,12,0,23454000,3864.7,7.2628,2E-04,12666000,11559.0,7.5948,0.001,15158000,16333.0,6.8103,0.0012,0.7845,15.64,0.14,5888.25,0.0697,0.0377,1.11,1.345,183.372958,10.041636
Gaia DR2 1167838720595878400,227.085505,0.045,10.113796,0.0526,1.16783872059588E+18,20.0311,0.0663,302.3099,-57.63,0.092,-20.825,0.112,120,280.38,9,0,24307000,7309.4,7.224,3E-04,13430000,47439.0,7.5312,0.0038,15088000,31880.0,6.8154,0.0023,0.7158,4.33,0.19,6132.5,0.2667,0.1228,1.36,2.356,227.085757,10.113886
Gaia DR2 1165262633571848064,234.497293,0.0385,10.238333,0.032,1.16526263357185E+18,20.8207,0.0514,405.1364,129.818,0.08,-358.765,0.079,218,842.03,11,0,31758000,16746.0,6.9337,6E-04,17758000,33204.0,7.2279,0.002,19904000,71441.0,6.5146,0.0039,0.7133,37.29,0.19,5985.95,0.436,0.221,1.57,2.863,234.496725,10.239877
Gaia DR2 4492471268326460416,264.208523,0.0369,10.574493,0.0391,4.49247126832646E+18,27.9376,0.0514,543.4123,-148.635,0.132,-8.889,0.101,147,214.67,10,0,27093000,7563.4,7.1062,3E-04,14166000,31029.0,7.4733,0.0024,17952000,54859.0,6.6266,0.0033,0.8467,-76.69,0.13,5754.5,0.312,0.151,1.18,1.373,264.209174,10.574532
Gaia DR2 24340923991956352,36.546565,0.04,10.636692,0.0332,2.43409239919564E+16,28.2596,0.0424,666.2418,83.62,0.086,-258.153,0.072,133,241.5,10,0,25508000,7500.7,7.1717,3E-04,13949000,44907.0,7.4901,0.0035,16167000,36517.0,6.7403,0.0025,0.7497,-0.12,0.23,5999.75,0.056,0.0213,1.03,1.248,36.546199,10.637804
Gaia DR2 3906535027891367040,183.304703,0.0531,10.819115,0.0323,3.90653502789137E+18,27.0719,0.0643,420.7128,9.482,0.104,-590.23,0.062,221,390.19,12,0,20788000,3849.2,7.3939,2E-04,10922000,9351.6,7.7557,9E-04,13805000,17592.0,6.9118,0.0014,0.8438,-24.4,0.13,5690.0,0.1347,0.0803,1.09,1.127,183.304661,10.821656
Gaia DR2 4444857157801998080,255.068634,0.0315,10.822376,0.0267,4.444857157802E+18,23.6819,0.0369,641.9208,95.431,0.067,-100.909,0.054,267,518.93,14,0,24180000,5891.8,7.2297,3E-04,13239000,16253.0,7.5467,0.0013,15345000,27402.0,6.797,0.0019,0.7497,-1.45,0.18,5954.33,0.0893,0.05,1.22,1.687,255.068216,10.822811
Gaia DR2 1166216253750406144,233.181862,0.038,10.968982,0.0412,1.16621625375041E+18,33.295,0.0585,569.1221,-5.939,0.089,158.432,0.122,184,405.53,11,0,28359000,6722.4,7.0566,3E-04,14960000,27113.0,7.414,0.002,18563000,61086.0,6.5903,0.0036,0.8237,-35.67,0.16,5733.5,0.085,0.045,1.02,1.013,233.181888,10.9683
Gaia DR2 4314798744888764544,292.193231,0.0348,11.026862,0.0279,4.31479874488876E+18,24.4465,0.0474,515.4095,-11.151,0.067,-28.033,0.056,244,446.54,12,0,22635000,4403.5,7.3014,2E-04,12296000,11467.0,7.627,0.001,14472000,17696.0,6.8606,0.0013,0.7664,-40.64,0.13,5971.67,0.113,0.056,1.14,1.481,292.19328,11.026983
